Word,Frequency
experience,156
degree,63
analysis,61
financial,59
business,57
communication,47
analytical,43
bachelor,39
excel,31
statistical,26
finance,23
english,22
sql,22
technical,22
attention,21
reporting,21
statistics,20
office,19
team,19
analyst,18
ms,18
economics,17
verbal,17
development,17
visualization,16
industry,16
systems,16
role,15
packages,15
databases,15
programming,15
research,15
python,14
complex,14
presentation,14
marketing,14
requirements,13
microsoft,12
problem,12
solving,12
tableau,12
practices,12
thinking,12
processes,11
analytics,11
modeling,11
bs,11
powerbi,11
it,11
quality,11
accuracy,10
mathematics,10
solid,10
time,10
analyzing,9
engineering,9
analyze,9
fast,9
principles,9
required,9
mining,9
other,9
large,9
be,9
preferably,9
applications,9
an,9
level,9
market,9
testing,9
datasets,8
qualifications,8
proficient,8
both,8
manage,8
paced,8
database,8
design,8
learning,8
models,8
spss,8
sas,8
7,8
effectively,8
all,8
well,8
interpret,8
critical,8
languages,8
based,8
certification,8
programs,7
administration,7
oriented,7
tasks,7
technologies,7
warehousing,7
etl,7
frameworks,7
amounts,7
concepts,7
arabic,7
language,7
methods,7
projects,7
documentation,7
within,7
are,7
identify,7
customer,7
interpersonal,7
conclusions,7
various,7
professional,7
you,7
fraud,7
regulations,7
standards,7
strategies,7
internal,7
